ma_mon_hoc,ma_mon_hoc_dieu_kien,loai_dieu_kien
ADENG3,ADENG2,tien_quyet
ADENG4,ADENG3,tien_quyet
CE103,IT006,truoc
CE105,MA001,truoc
CE105,MA002,truoc
CE105,MA003,truoc
CE118,PH002,truoc
CE119,PH002,truoc
CE124,CE121,truoc
CE201,PH002,truoc
CE201,CE103,truoc
CE201,CE121,truoc
CE206,PH002,truoc
CE206,CE103,truoc
CE206,CE121,truoc
CE207,CE226,truoc
CE207,CE436,truoc
CE207,CE433,truoc
CE208,CE207,truoc
CE212,MA003,truoc
CE212,MA006,truoc
CE213,PH002,truoc
CE213,CE118,truoc
CE222,CE118,truoc
CE224,CE103,truoc
CE232,CE224,truoc
CE233,MA003,truoc
CE3031,MA006,truoc
CE3031,MA003,truoc
CE3031,CE121,truoc
CE304,CE121,truoc
CE304,CE224,truoc
CE304,MA001,truoc
CE304,MA002,truoc
CE313,IT001,truoc
CE313,IT006,truoc
CE317,MA001,truoc
CE317,MA002,truoc
CE317,MA003,truoc
CE317,MA004,truoc
CE317,CE101,truoc
CE317,CE104,truoc
CE317,CE212,truoc
CE318,IT006,truoc
CE318,IT007,truoc
CE319,MA004,truoc
CE320,MA004,truoc
CE323,CE101,truoc
CE323,CE104,truoc
CE323,CE103,truoc
CE331,CE222,truoc
CE332,CE222,truoc
CE333,ENG03,truoc
CE333,IT007,truoc
CE334,CE124,truoc
CE334,CE213,truoc
CE335,IT006,truoc
CE335,IT003,truoc
CE335,IT001,truoc
CE336,CE118,truoc
CE336,CE213,truoc
CE337,IT006,truoc
CE337,CE118,truoc
CE337,CE213,truoc
CE338,IT006,truoc
CE338,IT007,truoc
CE339,CE103,truoc
CE339,CE224,truoc
CE342,CE224,truoc
CE347,MA003,truoc
CE349,CE103,truoc
CE350,CE436,truoc
CE351,CE433,truoc
CE352,CE213,truoc
CE352,CE436,truoc
CE353,CE226,truoc
CE406,CE103,truoc
CE407,IT006,truoc
CE408,CE201,truoc
CE408,CE206,truoc
CE408,CE213,truoc
CE409,CE118,truoc
CE409,CE213,truoc
CE410,CE118,truoc
CE410,CE224,truoc
CE411,CE107,truoc
CE412,CE224,truoc
CE413,CE103,truoc
CE413,CE224,truoc
CE421,CE118,truoc
CE421,CE221,truoc
CE421,CE222,truoc
CE432,CE118,truoc
CE432,CE213,truoc
CE433,CE118,truoc
CE433,IT006,truoc
CE433,CE213,truoc
CE434,CE213,truoc
CE435,CE213,truoc
CE436,MA003,truoc
CE436,MA006,truoc
CE437,CE103,truoc
CE438,CE103,truoc
CE439,IT001,truoc
CE439,IT006,truoc
CE441,CE103,truoc
CE441,CE224,truoc
CE442,CE103,truoc
CE442,CE224,truoc
CE505,CE206,truoc
CS106,IT003,truoc
CS111,IT003,truoc
CS112,IT001,truoc
CS112,IT003,truoc
CS113,IT001,truoc
CS113,IT003,truoc
CS114,IT001,truoc
CS114,MA003,truoc
CS114,MA004,truoc
CS115,IT001,truoc
CS116,IT001,truoc
CS116,IT002,truoc
CS211,CS106,truoc
CS2133,CS1113,truoc
CS217,IT002,truoc
CS217,IT003,truoc
CS221,IT001,truoc
CS221,MA003,truoc
CS221,MA004,truoc
CS222,CS221,truoc
CS229,CS221,truoc
CS311,IT003,truoc
CS312,CS110,truoc
CS313,IT001,truoc
CS313,IT003,truoc
CS315,CS110,truoc
CS317,CS114,tien_quyet
CS321,IT001,truoc
CS323,CS221,truoc
CS324,CS221,truoc
CS325,CS221,truoc
CS326,CS221,truoc
CS331,CS231,truoc
CS335,IT001,truoc
CS337,IT003,truoc
CS3653,MATH2154,truoc
CS410,IT003,tien_quyet
CS412,CS221,truoc
CS414,MA004,truoc
CS4153,CS2133,truoc
CS419,CS114,truoc
CS420,CS231,truoc
CS4243,CS4283,truoc
CS431,IT001,truoc
CS431,IT002,truoc
CS4323,CS2134,truoc
CS4323,CS3653,truoc
CS4343,CS2134,truoc
CS511,IT002,truoc
CS511,IT003,truoc
CS511,IT001,truoc
CS521,IT003,truoc
CS521,MA004,truoc
CS522,IT003,truoc
CS522,MA004,truoc
CS523,IT003,truoc
CS523,IT001,truoc
CS524,CS221,truoc
CS526,IT002,truoc
CS526,IT003,truoc
CS535,CS221,truoc
CS535,CS114,truoc
CS5433,CS5423,truoc
CS5433,CS4283,truoc
CS5433,MSIS4013,truoc
DS101,MA005,tien_quyet
DS101,MA006,truoc
DS101,MA003,truoc
DS104,IT004,truoc
DS105,MA005,truoc
DS105,IT001,truoc
DS105,DS103,truoc
DS106,MA003,truoc
DS107,IT002,truoc
DS108,IT001,truoc
DS108,IT004,truoc
