hoc_ky,ma_mon_hoc,ma_lop,so_tin_chi,ma_giang_vien,thu,tiet_bat_dau,tiet_ket_thuc,cach_tuan,ngay_bat_dau,ngay_ket_thuc,phong_hoc,si_so,hinh_thuc_giang_day,ghi_chu
2022_2023_1,ENG01,ENG01.N1.M,4,*,*,,,,,,*,,LT,Miễn học
2022_2023_1,ENG02,ENG02.N1.M,4,*,*,,,,,,*,,LT,Miễn học
2022_2023_1,ENG03,ENG03.N1.M,4,*,*,,,,,,*,,LT,Miễn học
2022_2023_1,DS309,DS309.N11,2,*,*,,,1,2022-09-04,2022-12-21,*,,TTTN,
2022_2023_1,DS505,DS505.N11,10,*,*,,,1,2022-09-04,2022-12-21,*,,KLTN,
2022_2023_1,IE207,IE207.N11,2,*,*,,,1,2022-09-04,2022-12-21,*,,ĐA,
2022_2023_1,IE207,IE207.N11.CNCL,2,*,*,,,1,2022-09-04,2022-12-21,*,,ĐA,
2022_2023_1,IE309,IE309.N11,2,*,*,,,1,2022-09-04,2022-12-21,*,,TTTN,
2022_2023_1,IE309,IE309.N11.CNCL,2,*,*,,,1,2022-09-04,2022-12-21,*,,TTTN,
2022_2023_1,IE505,IE505.N11,10,*,*,,,1,2022-09-04,2022-12-21,*,,KLTN,
2022_2023_1,IE505,IE505.N11.CNCL,10,*,*,,,1,2022-09-04,2022-12-21,*,,KLTN,
2022_2023_1,CU001,CU001.N11.CNCL,2,*,5,1,4,1,2022-09-04,2022-11-02,B1.10,,LT,
2022_2023_1,IE105,IE105.N13.CNVN,3,*,2,6,9,1,2022-09-04,2022-12-07,B1.10,,LT,
2022_2023_1,IE005,IE005.N11,1,*,3,1,3,2,2022-09-09,2023-01-04,B1.14,,LT,
2022_2023_1,IE106,IE106.N12.CNVN,3,*,6,6,9,1,2022-09-04,2022-11-23,B1.22,,LT,
2022_2023_1,CU001,CU001.N12.CNCL,2,*,3,1,4,1,2022-09-04,2022-11-09,B3.10,,LT,
2022_2023_1,IE101,IE101.N11,2,*,2,1,4,1,2022-09-04,2022-11-09,B3.10,,LT,
2022_2023_1,IE106,IE106.N12,3,*,4,6,9,1,2022-09-04,2022-11-23,B3.10,,LT,
2022_2023_1,IE212,IE212.N13.CNCL,3,*,7,6,9,1,2022-09-04,2022-11-23,B3.10,,LT,
2022_2023_1,IE224,IE224.N11,3,*,3,1,4,1,2022-09-04,2022-12-07,B4.14,,LT,
2022_2023_1,IE402,IE402.N11.CNCL,3,*,4,1,4,1,2022-09-04,2022-11-23,B4.14,,LT,
2022_2023_1,IE231,IE231.N11.CNCL,3,*,7,6,9,1,2022-09-04,2022-11-23,B5.12,,LT,
2022_2023_1,DS005,DS005.N11,1,*,7,6,9,1,2022-09-16,2022-10-12,B5.14,,LT,
2022_2023_1,DS106,DS106.N11,2,*,7,1,4,1,2022-09-04,2022-11-02,B5.14,,LT,
2022_2023_1,IE103,IE103.N12,3,*,2,6,9,1,2022-09-04,2022-12-07,B5.14,,LT,
2022_2023_1,IE106,IE106.N11,3,*,5,6,9,1,2022-09-04,2022-11-23,B5.14,,LT,
2022_2023_1,IE212,IE212.N11.CNCL,3,*,4,1,4,1,2022-09-04,2022-11-23,B5.14,,LT,
2022_2023_1,IE231,IE231.N11,3,*,6,6,9,1,2022-09-04,2022-11-23,B5.14,,LT,
2022_2023_1,IE310,IE310.N11,3,*,3,6,9,1,2022-09-04,2022-12-07,B5.14,,LT,
2022_2023_1,DS101,DS101.N11,2,*,4,1,4,1,2022-09-04,2022-11-02,B6.04,,LT,
2022_2023_1,DS104,DS104.N11,3,*,3,6,9,1,2022-09-04,2022-11-30,B6.04,,LT,
2022_2023_1,DS105,DS105.N11,3,*,5,6,9,1,2022-09-04,2022-11-23,B6.04,,LT,
2022_2023_1,DS300,DS300.N11,3,*,5,2,5,1,2022-09-04,2022-11-23,B6.04,,LT,
2022_2023_1,DS307,DS307.N11,3,*,4,6,9,1,2022-09-04,2022-11-23,B6.04,,LT,
2022_2023_1,DS311,DS311.N11,3,*,7,1,4,1,2022-09-04,2022-11-23,B6.04,,LT,
2022_2023_1,IE101,IE101.N12,2,*,2,6,9,1,2022-09-04,2022-11-09,B6.04,,LT,
2022_2023_1,IE104,IE104.N11,3,*,3,2,5,1,2022-09-04,2022-12-07,B6.04,,LT,
2022_2023_1,IE307,IE307.N11,3,*,2,1,4,1,2022-09-04,2022-12-07,B6.04,,LT,
2022_2023_1,DS312,DS312.N11,3,*,4,6,9,1,2022-09-04,2022-11-23,B6.06,,LT,
2022_2023_1,DS317,DS317.N11,3,*,3,1,4,1,2022-09-04,2022-12-07,B6.06,,LT,
2022_2023_1,IE402,IE402.N11,3,*,7,1,4,1,2022-09-04,2022-11-23,B6.06,,LT,
