Mã phường/xã mới ;Tên Phường/Xã mới;Tên tỉnh/TP mới;Mã tỉnh (TMS)
10105001;Phường Hoàn Kiếm;Thành phố Hà Nội;101
10105002;Phường Cửa Nam;Thành phố Hà Nội;101
10101003;Phường Ba Đình;Thành phố Hà Nội;101
10101004;Phường Ngọc Hà;Thành phố Hà Nội;101
10101005;Phường Giảng Võ;Thành phố Hà Nội;101
10107006;Phường Hai Bà Trưng;Thành phố Hà Nội;101
10107007;Phường Vĩnh Tuy;Thành phố Hà Nội;101
10107008;Phường Bạch Mai;Thành phố Hà Nội;101
10109009;Phường Đống Đa;Thành phố Hà Nội;101
10109010;Phường Kim Liên;Thành phố Hà Nội;101
10109011;Phường Văn Miếu - Quốc Tử Giám;Thành phố Hà Nội;101
10109012;Phường Láng;Thành phố Hà Nội;101
10109013;Phường Ô Chợ Dừa;Thành phố Hà Nội;101
10103014;Phường Hồng Hà;Thành phố Hà Nội;101
10108015;Phường Lĩnh Nam;Thành phố Hà Nội;101
10108016;Phường Hoàng Mai;Thành phố Hà Nội;101
10108017;Phường Vĩnh Hưng;Thành phố Hà Nội;101
10108018;Phường Tương Mai;Thành phố Hà Nội;101
10108019;Phường Định Công;Thành phố Hà Nội;101
10123020;Phường Hoàng Liệt;Thành phố Hà Nội;101
10108021;Phường Yên Sở;Thành phố Hà Nội;101
10111022;Phường Thanh Xuân;Thành phố Hà Nội;101
10111023;Phường Khương Đình;Thành phố Hà Nội;101
10111024;Phường Phương Liệt;Thành phố Hà Nội;101
10113025;Phường Cầu Giấy;Thành phố Hà Nội;101
10113026;Phường Nghĩa Đô;Thành phố Hà Nội;101
10113027;Phường Yên Hoà;Thành phố Hà Nội;101
10103028;Phường Tây Hồ;Thành phố Hà Nội;101
10157029;Phường Phú Thượng;Thành phố Hà Nội;101
10157030;Phường Tây Tựu;Thành phố Hà Nội;101
10157031;Phường Phú Diễn;Thành phố Hà Nội;101
10157032;Phường Xuân Đỉnh;Thành phố Hà Nội;101
10157033;Phường Đông Ngạc;Thành phố Hà Nội;101
10157034;Phường Thượng Cát;Thành phố Hà Nội;101
10155035;Phường Từ Liêm;Thành phố Hà Nội;101
10155036;Phường Xuân Phương;Thành phố Hà Nội;101
10155037;Phường Tây Mỗ;Thành phố Hà Nội;101
10155038;Phường Đại Mỗ;Thành phố Hà Nội;101
10106039;Phường Long Biên;Thành phố Hà Nội;101
10106040;Phường Bồ Đề;Thành phố Hà Nội;101
