ma_lop,mssv,ma_lop_goc,diem_qua_trinh,diem_giua_ki,diem_thuc_hanh,diem_cuoi_ki,ghi_chu
IT001.O11,23520541,IT001.O11,10,,,9,
IT001.O11.2,23520541,IT001.O11,,,10,,
MA003.O11,23520541,MA003.O11,10,10,,9,
MA006.O11,23520541,MA006.O11,10,10,,9,
IE005.O11,23520541,IE005.O11,9,,,8,
SS006.O11,23520541,SS006.O11,,9,,5,
IT002.O21,23520541,IT002.O21,9,,,9,
IT002.O21.2,23520541,IT002.O21,,,9.5,,
IT003.O21,23520541,IT003.O21,10,,,7,
IT003.O21.2,23520541,IT003.O21,,,9.5,,
MA004.O21,23520541,MA004.O21,8,9,,10,
MA005.O21,23520541,MA005.O21,10,7,,10,
IT012.O21,23520541,IT012.O21,10,8,,8,
IT012.O21.2,23520541,IT012.O21,,,8,,
SS003.O23,23520541,SS003.O23,10,,,7,
SS009.O24,23520541,SS009.O24,8,,,8,
IT004.P11,23520541,IT004.P11,,6,,6,
IT004.P11.2,23520541,IT004.P11,,,7.5,,
IT005.P11.CNVN,23520541,IT005.P11.CNVN,10,7.5,,9,
IT005.P11.CNVN.2,23520541,IT005.P11.CNVN,,,9.5,,
IT007.P11,23520541,IT007.P11,10,9,,8,
IT007.P11.2,23520541,IT007.P11,,,8,,
SS007.P12,23520541,SS007.P12,8,,,4.5,
SS008.P15,23520541,SS008.P15,8.5,,,8,
IE101.P21,23520541,IE101.P21,8,,,6.5,
IE101.P21.2,23520541,IE101.P21,,,7.5,,
IE103.P21,23520541,IE103.P21,10,,,8.5,
IE103.P21.2,23520541,IE103.P21,,,9.5,,
IE108.P21,23520541,IE108.P21,,8,,8,
IE108.P21.2,23520541,IE108.P21,,,8.5,,
SS004.P22,23520541,SS004.P22,9.5,,,9,
IE104.Q11.CNVN,23520541,IE104.Q11.CNVN,,,,,
IE104.Q11.CNVN.2,23520541,IE104.Q11.CNVN,,,,,
IE106.Q11.CNVN,23520541,IE106.Q11.CNVN,,,,,
IE106.Q11.CNVN.1,23520541,IE106.Q11.CNVN,,,,,
IE307.Q12,23520541,IE307.Q12,,,,,
IE307.Q12.2,23520541,IE307.Q12,,,,,
SE104.Q13,23520541,SE104.Q13,,,,,
SE104.Q13.1,23520541,SE104.Q13,,,,,
PE231.Q116,23520541,PE231.Q116,,,,,

