ma_mon_hoc,ma_lop,ma_giang_vien,ngay_thi,ca_thi,phong_thi,hinh_thuc_thi,gk_ck
PH001,PH001.Q11,,2026-01-07,3,A315,,CK
MA004,MA004.Q11.CNVN,,2026-01-12,1,B4.14,,CK
MA006,MA006.Q11,,2026-01-12,2,B1.10,,CK
MA006,MA006.Q11,,2026-01-12,2,B1.12,,CK
MA006,MA006.Q11.CTTN,,2026-01-12,2,C213,,CK
MA006,MA006.Q11.VMTN,,2026-01-12,2,E10.1,,CK
MA006,MA006.Q110,,2026-01-12,2,B3.10,,CK
MA006,MA006.Q110,,2026-01-12,2,B3.12,,CK
MA006,MA006.Q111,,2026-01-12,2,B1.14,,CK
MA006,MA006.Q112,,2026-01-12,2,B6.02,,CK
MA006,MA006.Q112,,2026-01-12,2,B6.04,,CK
MA006,MA006.Q113,,2026-01-12,2,B3.18,,CK
MA006,MA006.Q113,,2026-01-12,2,B3.22,,CK
MA006,MA006.Q114,,2026-01-12,2,B4.20,,CK
MA006,MA006.Q114,,2026-01-12,2,B4.22,,CK
MA006,MA006.Q115,,2026-01-12,2,B1.02,,CK
MA006,MA006.Q115,,2026-01-12,2,B1.22,,CK
MA006,MA006.Q116,,2026-01-12,2,B1.08,,CK
MA006,MA006.Q116,,2026-01-12,2,B3.16,,CK
MA006,MA006.Q117,,2026-01-12,2,B4.16,,CK
MA006,MA006.Q117,,2026-01-12,2,B4.18,,CK
MA006,MA006.Q118,,2026-01-12,2,B4.10,,CK
MA006,MA006.Q118,,2026-01-12,2,B4.12,,CK
MA006,MA006.Q119,,2026-01-12,2,B5.10,,CK
MA006,MA006.Q119,,2026-01-12,2,B5.12,,CK
MA006,MA006.Q12,,2026-01-12,2,B5.14,,CK
MA006,MA006.Q12.CNVN,,2026-01-12,2,C214,,CK
MA006,MA006.Q120,,2026-01-12,2,B7.04,,CK
MA006,MA006.Q120,,2026-01-12,2,B7.06,,CK
MA006,MA006.Q121,,2026-01-12,2,B4.14,,CK
MA006,MA006.Q122,,2026-01-12,2,B9.02,,CK
MA006,MA006.Q123,,2026-01-12,2,B6.06,,CK
MA006,MA006.Q124,,2026-01-12,2,C202,,CK
MA006,MA006.Q124,,2026-01-12,2,C102,,CK
MA006,MA006.Q125,,2026-01-12,2,B7.02,,CK
MA006,MA006.Q126,,2026-01-12,2,B6.12,,CK
MA006,MA006.Q13,,2026-01-12,2,C307,,CK
MA006,MA006.Q13,,2026-01-12,2,C309,,CK
MA006,MA006.Q13.CNVN,,2026-01-12,2,E41,,CK
MA006,MA006.Q13.CNVN,,2026-01-12,2,E42,,CK
MA006,MA006.Q13.CNVN,,2026-01-12,2,E44,,CK
MA006,MA006.Q14,,2026-01-12,2,B3.14,,CK
MA006,MA006.Q14.CNVN,,2026-01-12,2,C305,,CK
MA006,MA006.Q14.CNVN,,2026-01-12,2,C302,,CK
MA006,MA006.Q15,,2026-01-12,2,B6.08,,CK
MA006,MA006.Q15,,2026-01-12,2,B6.10,,CK
MA006,MA006.Q16,,2026-01-12,2,B1.04,,CK
MA006,MA006.Q16,,2026-01-12,2,B3.20,,CK
MA006,MA006.Q17,,2026-01-12,2,C311,,CK
MA006,MA006.Q17,,2026-01-12,2,C314,,CK
MA006,MA006.Q18,,2026-01-12,2,B1.16,,CK
MA006,MA006.Q18,,2026-01-12,2,B1.18,,CK
MA006,MA006.Q19,,2026-01-12,2,B1.06,,CK
MA006,MA006.Q19,,2026-01-12,2,B1.20,,CK
MA003,MA003.Q11,,2026-01-14,2,B1.10,,CK
MA003,MA003.Q11,,2026-01-14,2,B1.12,,CK
MA003,MA003.Q11.CTTN,,2026-01-14,2,C213,,CK
MA003,MA003.Q11.VMTN,,2026-01-14,2,E41,,CK
MA003,MA003.Q110,,2026-01-14,2,B3.10,,CK
MA003,MA003.Q110,,2026-01-14,2,B3.12,,CK
MA003,MA003.Q111,,2026-01-14,2,B1.14,,CK
MA003,MA003.Q112,,2026-01-14,2,B6.02,,CK
MA003,MA003.Q112,,2026-01-14,2,B6.04,,CK
MA003,MA003.Q113,,2026-01-14,2,B3.18,,CK
MA003,MA003.Q113,,2026-01-14,2,B3.22,,CK
MA003,MA003.Q114,,2026-01-14,2,B4.20,,CK
MA003,MA003.Q114,,2026-01-14,2,B4.22,,CK
MA003,MA003.Q115,,2026-01-14,2,B1.02,,CK
MA003,MA003.Q115,,2026-01-14,2,B1.22,,CK
MA003,MA003.Q116,,2026-01-14,2,B1.08,,CK
MA003,MA003.Q116,,2026-01-14,2,B3.16,,CK
MA003,MA003.Q117,,2026-01-14,2,B4.16,,CK
MA003,MA003.Q117,,2026-01-14,2,B4.18,,CK
MA003,MA003.Q118,,2026-01-14,2,B4.10,,CK
MA003,MA003.Q118,,2026-01-14,2,B4.12,,CK
MA003,MA003.Q119,,2026-01-14,2,B5.10,,CK
MA003,MA003.Q119,,2026-01-14,2,B5.12,,CK
MA003,MA003.Q12,,2026-01-14,2,B5.14,,CK
MA003,MA003.Q12.CNVN,,2026-01-14,2,E10.1,,CK
MA003,MA003.Q12.CNVN,,2026-01-14,2,C302,,CK
MA003,MA003.Q120,,2026-01-14,2,B7.04,,CK
MA003,MA003.Q120,,2026-01-14,2,B7.06,,CK
MA003,MA003.Q121,,2026-01-14,2,B4.14,,CK
MA003,MA003.Q122,,2026-01-14,2,B9.02,,CK
MA003,MA003.Q123,,2026-01-14,2,B6.06,,CK
MA003,MA003.Q124,,2026-01-14,2,C202,,CK
MA003,MA003.Q124,,2026-01-14,2,C102,,CK
MA003,MA003.Q125,,2026-01-14,2,B7.02,,CK
MA003,MA003.Q126,,2026-01-14,2,B6.12,,CK
MA003,MA003.Q13,,2026-01-14,2,C307,,CK
MA003,MA003.Q13,,2026-01-14,2,C309,,CK
MA003,MA003.Q13.CNVN,,2026-01-14,2,C214,,CK
MA003,MA003.Q13.CNVN,,2026-01-14,2,C212,,CK
MA003,MA003.Q14,,2026-01-14,2,B3.14,,CK
