ma_mon_hoc,ma_lop,ma_giang_vien,ngay_thi,ca_thi,phong_thi,hinh_thuc_thi,gk_ck
MA006,MA006.Q11,,2025-11-03,2,B1.10,,GK
MA006,MA006.Q11,,2025-11-03,2,B1.12,,GK
MA006,MA006.Q11.CTTN,,2025-11-03,2,C213,,GK
MA006,MA006.Q11.VMTN,,2025-11-03,2,E10.1,,GK
MA006,MA006.Q110,,2025-11-03,2,B3.10,,GK
MA006,MA006.Q110,,2025-11-03,2,B3.12,,GK
MA006,MA006.Q111,,2025-11-03,2,B1.14,,GK
MA006,MA006.Q112,,2025-11-03,2,B6.02,,GK
MA006,MA006.Q112,,2025-11-03,2,B6.04,,GK
MA006,MA006.Q113,,2025-11-03,2,B3.18,,GK
MA006,MA006.Q113,,2025-11-03,2,B3.22,,GK
MA006,MA006.Q114,,2025-11-03,2,B4.20,,GK
MA006,MA006.Q114,,2025-11-03,2,B4.22,,GK
MA006,MA006.Q115,,2025-11-03,2,B1.02,,GK
MA006,MA006.Q115,,2025-11-03,2,B1.22,,GK
MA006,MA006.Q116,,2025-11-03,2,B1.08,,GK
MA006,MA006.Q116,,2025-11-03,2,B3.16,,GK
MA006,MA006.Q117,,2025-11-03,2,B4.16,,GK
MA006,MA006.Q117,,2025-11-03,2,B4.18,,GK
MA006,MA006.Q118,,2025-11-03,2,B4.10,,GK
MA006,MA006.Q118,,2025-11-03,2,B4.12,,GK
MA006,MA006.Q119,,2025-11-03,2,B5.10,,GK
MA006,MA006.Q119,,2025-11-03,2,B5.12,,GK
MA006,MA006.Q12,,2025-11-03,2,B5.14,,GK
MA006,MA006.Q12.CNVN,,2025-11-03,2,C214,,GK
MA006,MA006.Q120,,2025-11-03,2,B7.04,,GK
MA006,MA006.Q120,,2025-11-03,2,B7.06,,GK
MA006,MA006.Q121,,2025-11-03,2,B4.14,,GK
MA006,MA006.Q122,,2025-11-03,2,B9.02,,GK
MA006,MA006.Q123,,2025-11-03,2,B6.06,,GK
MA006,MA006.Q124,,2025-11-03,2,C202,,GK
