hoc_ky;ma_mon_hoc;ma_lop;so_tin_chi;ma_giang_vien;thu;tiet;cach_tuan;ngay_bat_dau;ngay_ket_thuc;phong_hoc;si_so;hinh_thuc_giang_day;ghi_chu
2024_2025_2;BCH058;BCH058.P21;2;;4;12345;1;03/03/2025;10/05/2025;;;LT;Học tại trường ĐHKHXH&NV
2024_2025_2;BCH058;BCH058.P22;2;;4;6789;1;03/03/2025;24/05/2025;*;;LT;Học tại trường ĐHKHXH&NV
2024_2025_2;ENG03;ENG03.P21;4;;3;11,12,13;1;17/02/2025;17/05/2025;*;;LT;
2024_2025_2;ENG03;ENG03.P21;4;;5;11,12,13;1;17/02/2025;17/05/2025;*;;LT;
2024_2025_2;ENG01;ENG01.P21;4;;3;11,12,13;1;17/02/2025;17/05/2025;*;;LT;
2024_2025_2;ENG01;ENG01.P21;4;;5;11,12,13;1;17/02/2025;17/05/2025;*;;LT;
2024_2025_2;ENG02;ENG02.P21;4;;2;11,12,13;1;17/02/2025;17/05/2025;*;;LT;
2024_2025_2;ENG02;ENG02.P21;4;;4;11,12,13;1;17/02/2025;17/05/2025;*;;LT;
2024_2025_2;PE231;PE231.P25;0;;7;123;1;17/02/2025;07/06/2025;*;;LT;Bơi lội, học tại https://goo.gl/maps/NGD24VkSEtJmJ5pJ6
2024_2025_2;CE505;CE505.P21;10;;*;*;1;17/02/2025;07/06/2025;*;;KLTN;
2024_2025_2;CE502;CE502.P21;2;;*;*;1;17/02/2025;07/06/2025;*;;TTTN;
2024_2025_2;CE201;CE201.P21;2;;*;*;1;17/02/2025;07/06/2025;*;;ĐA;
2024_2025_2;CE206;CE206.P21;2;;*;*;1;17/02/2025;07/06/2025;*;;ĐA;
2024_2025_2;CE408;CE408.P21;2;;*;*;1;17/02/2025;07/06/2025;*;;ĐA;môn đồ án
2024_2025_2;CE412;CE412.P21;2;;*;*;1;17/02/2025;07/06/2025;*;;ĐA;môn đồ án
2024_2025_2;IE505;IE505.P21;10;;*;*;1;17/02/2025;07/06/2025;*;;KLTN;
